event_id,user_id,event_type,timestamp,app_version,major_version,os,country,session_id,properties,event_date,event_hour,day_of_week,week_of_year,year_month
EVT_000031,USER_217,wishlist_add,2024-01-11 00:03:30+00:00,1.3.7,1,iOS,ID,SESSION_7984,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,0,Thursday,2,2024-01
EVT_000032,USER_033,checkout,2024-01-06 19:09:04+00:00,2.3.9,2,Web,MY,SESSION_9984,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,19,Saturday,1,2024-01
EVT_000033,USER_026,button_click,2024-01-08 16:38:27+00:00,2.3.3,2,Android,MY,SESSION_4522,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,16,Monday,2,2024-01
EVT_000035,USER_213,screen_view,2024-01-11 15:04:05+00:00,2.0.5,2,iOS,PH,SESSION_2527,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': 'home'}",2024-01-11,15,Thursday,2,2024-01
EVT_000036,USER_172,button_click,2024-01-10 17:35:21+00:00,2.5.6,2,Web,ID,SESSION_7730,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-10,17,Wednesday,2,2024-01
EVT_000037,USER_027,error,2024-01-05 19:19:22+00:00,1.1.7,1,iOS,ID,SESSION_9313,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,19,Friday,1,2024-01
EVT_000038,USER_196,checkout,2024-01-06 17:23:07+00:00,2.4.9,2,Web,VN,SESSION_4705,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,17,Saturday,1,2024-01
EVT_000039,USER_238,checkout,2024-01-11 17:01:38+00:00,1.2.4,1,Android,MY,SESSION_1474,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,17,Thursday,2,2024-01
EVT_000040,USER_145,wishlist_add,2024-01-01 05:55:09+00:00,1.5.0,1,iOS,VN,SESSION_2140,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,5,Monday,1,2024-01
EVT_000041,USER_117,payment_success,2024-01-09 06:24:26+00:00,2.2.5,2,Web,PH,SESSION_3578,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,6,Tuesday,2,2024-01
EVT_000042,USER_194,crash,2024-01-02 01:09:10+00:00,1.2.7,1,Web,TH,SESSION_1815,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,1,Tuesday,1,2024-01
EVT_000043,USER_070,add_to_cart,2024-01-08 19:28:26+00:00,1.2.6,1,iOS,MY,SESSION_9394,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,19,Monday,2,2024-01
EVT_000044,USER_135,purchase,2024-01-11 21:37:31+00:00,1.3.9,1,iOS,ID,SESSION_1744,"{'item_id': 'ITEM_309', 'amount': 157.7, 'query': None, 'screen_name': None}",2024-01-11,21,Thursday,2,2024-01
EVT_000045,USER_075,payment_success,2024-01-04 04:48:16+00:00,1.3.6,1,iOS,SG,SESSION_2965,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-04,4,Thursday,1,2024-01
EVT_000046,USER_129,download_started,2024-01-07 17:45:14+00:00,1.3.0,1,Android,ID,SESSION_6802,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,17,Sunday,1,2024-01
EVT_000047,USER_148,wishlist_remove,2024-01-08 02:55:20+00:00,2.2.1,2,Android,ID,SESSION_7626,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,2,Monday,2,2024-01
EVT_000048,USER_118,payment_failed,2024-01-06 05:51:39+00:00,2.0.3,2,Android,PH,SESSION_2443,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,5,Saturday,1,2024-01
EVT_000049,USER_223,purchase,2024-01-07 16:05:25+00:00,1.2.2,1,iOS,PH,SESSION_6562,"{'item_id': 'ITEM_748', 'amount': 65.87, 'query': None, 'screen_name': None}",2024-01-07,16,Sunday,1,2024-01
EVT_000050,USER_090,payment_failed,2024-01-09 06:57:49+00:00,1.0.2,1,Android,SG,SESSION_3419,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,6,Tuesday,2,2024-01
EVT_000052,USER_222,payment_success,2024-01-11 20:39:20+00:00,2.0.7,2,Android,VN,SESSION_3473,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,20,Thursday,2,2024-01
EVT_000053,USER_091,share_clicked,2024-01-05 08:37:03+00:00,2.3.7,2,iOS,ID,SESSION_2215,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,8,Friday,1,2024-01
EVT_000054,USER_222,screen_view,2024-01-06 09:04:41+00:00,2.3.9,2,Web,VN,SESSION_9307,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': 'home'}",2024-01-06,9,Saturday,1,2024-01
EVT_000056,USER_045,app_close,2024-01-12 02:32:41+00:00,2.3.8,2,Web,PH,SESSION_5059,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,2,Friday,2,2024-01
EVT_000057,USER_073,wishlist_add,2024-01-03 11:23:58+00:00,2.5.9,2,iOS,VN,SESSION_7697,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-03,11,Wednesday,1,2024-01
EVT_000058,USER_025,download_started,2024-01-11 10:04:21+00:00,2.2.9,2,iOS,MY,SESSION_7333,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,10,Thursday,2,2024-01
EVT_000059,USER_235,payment_failed,2024-01-02 18:42:09+00:00,2.1.9,2,Web,ID,SESSION_6082,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,18,Tuesday,1,2024-01
EVT_000060,USER_203,payment_success,2024-01-05 17:24:41+00:00,1.5.6,1,Web,MY,SESSION_3093,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,17,Friday,1,2024-01
EVT_000061,USER_244,add_to_cart,2024-01-01 11:19:11+00:00,2.1.3,2,iOS,SG,SESSION_6598,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,11,Monday,1,2024-01
EVT_000062,USER_026,share_clicked,2024-01-02 09:54:50+00:00,1.5.5,1,Web,SG,SESSION_9843,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,9,Tuesday,1,2024-01
EVT_000063,USER_047,crash,2024-01-10 12:09:10+00:00,2.0.6,2,Android,VN,SESSION_3712,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-10,12,Wednesday,2,2024-01
EVT_000064,USER_073,review_submitted,2024-01-12 07:28:39+00:00,1.2.7,1,iOS,MY,SESSION_4833,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,7,Friday,2,2024-01
EVT_000065,USER_197,purchase,2024-01-11 18:28:29+00:00,2.1.3,2,Web,SG,SESSION_7256,"{'item_id': 'ITEM_993', 'amount': 132.5, 'query': None, 'screen_name': None}",2024-01-11,18,Thursday,2,2024-01
EVT_000066,USER_142,button_click,2024-01-11 15:55:23+00:00,1.2.1,1,iOS,MY,SESSION_9452,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,15,Thursday,2,2024-01
EVT_000067,USER_112,screen_view,2024-01-08 16:09:53+00:00,2.2.0,2,Android,ID,SESSION_4637,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': 'cart'}",2024-01-08,16,Monday,2,2024-01
EVT_000068,USER_021,payment_failed,2024-01-09 11:15:24+00:00,1.2.1,1,Web,VN,SESSION_4678,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,11,Tuesday,2,2024-01
EVT_000069,USER_074,rating_submitted,2024-01-06 04:08:02+00:00,2.3.9,2,iOS,ID,SESSION_3273,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,4,Saturday,1,2024-01
EVT_000070,USER_039,download_started,2024-01-01 08:13:53+00:00,2.0.4,2,iOS,MY,SESSION_9647,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,8,Monday,1,2024-01
EVT_000071,USER_164,crash,2024-01-02 01:15:26+00:00,1.0.7,1,Web,PH,SESSION_8489,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,1,Tuesday,1,2024-01
EVT_000072,USER_062,search,2024-01-01 20:32:36+00:00,2.0.9,2,Android,SG,SESSION_5772,"{'item_id': None, 'amount': None, 'query': 'search_term_74', 'screen_name': None}",2024-01-01,20,Monday,1,2024-01
EVT_000074,USER_121,app_close,2024-01-15 10:30:00+00:00,2.2.0,2,Android,ID,SESSION_7338,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,10,Monday,3,2024-01
EVT_000075,USER_161,button_click,2024-01-06 07:46:42+00:00,1.0.5,1,Web,MY,SESSION_6447,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,7,Saturday,1,2024-01
EVT_000076,USER_200,review_submitted,2024-01-14 20:11:53+00:00,1.1.1,1,Web,TH,SESSION_8840,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-14,20,Sunday,2,2024-01
EVT_000077,USER_203,add_to_cart,2024-01-01 09:12:02+00:00,2.2.8,2,Android,PH,SESSION_1686,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,9,Monday,1,2024-01
EVT_000078,USER_166,add_to_cart,2024-01-08 08:02:48+00:00,2.0.5,2,Android,ID,SESSION_5687,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,8,Monday,2,2024-01
EVT_000080,USER_022,wishlist_remove,2024-01-06 16:17:51+00:00,2.4.2,2,Web,MY,SESSION_2293,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,16,Saturday,1,2024-01
EVT_000081,USER_170,purchase,2024-01-06 03:05:20+00:00,2.4.6,2,iOS,VN,SESSION_6021,"{'item_id': 'ITEM_554', 'amount': 182.26, 'query': None, 'screen_name': None}",2024-01-06,3,Saturday,1,2024-01
EVT_000082,USER_091,crash,2024-01-01 23:55:58+00:00,2.5.0,2,iOS,VN,SESSION_8126,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,23,Monday,1,2024-01
EVT_000083,USER_206,item_view,2024-01-11 12:23:32+00:00,1.4.7,1,iOS,SG,SESSION_1510,"{'item_id': 'ITEM_168', 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,12,Thursday,2,2024-01
EVT_000084,USER_099,error,2024-01-04 20:23:23+00:00,1.5.7,1,Android,MY,SESSION_1530,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-04,20,Thursday,1,2024-01
EVT_000085,USER_136,payment_failed,2024-01-08 02:36:08+00:00,2.5.4,2,iOS,ID,SESSION_7521,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,2,Monday,2,2024-01
EVT_000086,USER_133,wishlist_add,2024-01-01 23:11:31+00:00,2.2.7,2,iOS,PH,SESSION_2929,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,23,Monday,1,2024-01
EVT_000087,USER_052,button_click,2024-01-05 22:58:31+00:00,1.3.2,1,Web,TH,SESSION_3223,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,22,Friday,1,2024-01
EVT_000088,USER_171,payment_failed,2024-01-02 21:54:20+00:00,2.2.2,2,Web,VN,SESSION_2063,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,21,Tuesday,1,2024-01
EVT_000089,USER_204,payment_failed,2024-01-15 22:40:11+00:00,1.0.3,1,iOS,SG,SESSION_9335,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,22,Monday,3,2024-01
EVT_000090,USER_142,error,2024-01-13 15:01:23+00:00,2.4.2,2,Web,ID,SESSION_7044,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,15,Saturday,2,2024-01
EVT_000091,USER_185,rating_submitted,2024-01-02 09:25:45+00:00,2.3.9,2,iOS,SG,SESSION_9612,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,9,Tuesday,1,2024-01
EVT_000092,USER_120,share_clicked,2024-01-06 20:04:28+00:00,1.4.9,1,iOS,SG,SESSION_6644,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,20,Saturday,1,2024-01
EVT_000094,USER_243,share_clicked,2024-01-15 22:14:22+00:00,1.2.3,1,Web,PH,SESSION_5653,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,22,Monday,3,2024-01
EVT_000095,USER_158,download_started,2024-01-05 04:40:19+00:00,1.4.9,1,iOS,SG,SESSION_2530,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,4,Friday,1,2024-01
EVT_000096,USER_155,payment_success,2024-01-11 19:46:57+00:00,1.0.0,1,Web,PH,SESSION_1674,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,19,Thursday,2,2024-01
EVT_000097,USER_147,wishlist_remove,2024-01-05 20:13:49+00:00,2.5.8,2,Android,VN,SESSION_1496,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,20,Friday,1,2024-01
EVT_000098,USER_207,wishlist_add,2024-01-05 15:15:51+00:00,2.0.0,2,iOS,TH,SESSION_5873,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,15,Friday,1,2024-01
EVT_000099,USER_088,crash,2024-01-07 15:29:13+00:00,2.5.5,2,Web,MY,SESSION_3353,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,15,Sunday,1,2024-01
EVT_000100,USER_132,download_started,2024-01-07 04:48:23+00:00,2.1.7,2,iOS,MY,SESSION_2739,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,4,Sunday,1,2024-01
EVT_000101,USER_013,purchase,2024-01-08 07:09:06+00:00,2.1.2,2,Android,PH,SESSION_7293,"{'item_id': 'ITEM_838', 'amount': 163.23, 'query': None, 'screen_name': None}",2024-01-08,7,Monday,2,2024-01
EVT_000102,USER_120,rating_submitted,2024-01-13 05:31:32+00:00,2.0.1,2,Android,PH,SESSION_6055,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,5,Saturday,2,2024-01
EVT_000103,USER_091,app_close,2024-01-08 07:13:37+00:00,2.3.9,2,Web,VN,SESSION_1828,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,7,Monday,2,2024-01
EVT_000105,USER_144,add_to_cart,2024-01-01 12:03:36+00:00,2.0.6,2,Web,TH,SESSION_6939,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,12,Monday,1,2024-01
EVT_000106,USER_160,crash,2024-01-13 17:17:52+00:00,1.0.6,1,Android,MY,SESSION_2946,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,17,Saturday,2,2024-01
EVT_000107,USER_051,crash,2024-01-09 11:48:09+00:00,2.4.0,2,iOS,ID,SESSION_9341,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,11,Tuesday,2,2024-01
EVT_000108,USER_122,share_clicked,2024-01-03 22:21:51+00:00,1.4.8,1,iOS,MY,SESSION_8487,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-03,22,Wednesday,1,2024-01
EVT_000109,USER_101,crash,2024-01-15 19:20:10+00:00,2.4.8,2,Web,TH,SESSION_5902,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,19,Monday,3,2024-01
EVT_000110,USER_209,app_open,2024-01-12 18:19:30+00:00,2.5.1,2,Android,PH,SESSION_7035,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,18,Friday,2,2024-01
EVT_000112,USER_044,share_clicked,2024-01-12 01:37:30+00:00,1.5.3,1,iOS,PH,SESSION_7229,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,1,Friday,2,2024-01
EVT_000113,USER_113,payment_success,2024-01-12 03:12:01+00:00,1.3.3,1,Android,PH,SESSION_7861,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,3,Friday,2,2024-01
EVT_000114,USER_224,app_close,2024-01-13 19:58:30+00:00,1.4.5,1,Web,TH,SESSION_3262,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,19,Saturday,2,2024-01
EVT_000115,USER_118,download_started,2024-01-09 12:20:11+00:00,2.5.4,2,Web,TH,SESSION_6608,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,12,Tuesday,2,2024-01
EVT_000116,USER_077,remove_from_cart,2024-01-04 07:17:35+00:00,2.5.3,2,Web,VN,SESSION_5876,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-04,7,Thursday,1,2024-01
EVT_000117,USER_144,checkout,2024-01-08 10:30:22+00:00,1.4.8,1,Android,TH,SESSION_5715,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,10,Monday,2,2024-01
EVT_000118,USER_038,purchase,2024-01-14 11:49:51+00:00,2.5.1,2,Android,TH,SESSION_1689,"{'item_id': 'ITEM_771', 'amount': 135.66, 'query': None, 'screen_name': None}",2024-01-14,11,Sunday,2,2024-01
EVT_000119,USER_138,checkout,2024-01-08 06:12:52+00:00,1.0.9,1,Web,PH,SESSION_5450,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,6,Monday,2,2024-01
EVT_000121,USER_198,search,2024-01-12 15:06:43+00:00,1.3.7,1,Android,VN,SESSION_1084,"{'item_id': None, 'amount': None, 'query': 'search_term_26', 'screen_name': None}",2024-01-12,15,Friday,2,2024-01
EVT_000122,USER_166,app_close,2024-01-13 09:20:18+00:00,1.4.0,1,iOS,TH,SESSION_2465,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,9,Saturday,2,2024-01
EVT_000124,USER_238,payment_success,2024-01-05 18:38:06+00:00,2.5.8,2,Web,TH,SESSION_5662,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,18,Friday,1,2024-01
EVT_000125,USER_120,checkout,2024-01-15 04:54:32+00:00,1.2.2,1,Web,TH,SESSION_4159,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,4,Monday,3,2024-01
EVT_000126,USER_004,payment_success,2024-01-11 08:45:11+00:00,1.1.9,1,Web,TH,SESSION_5833,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,8,Thursday,2,2024-01
EVT_000127,USER_023,wishlist_add,2024-01-14 13:32:20+00:00,1.1.7,1,Android,SG,SESSION_2562,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-14,13,Sunday,2,2024-01
EVT_000128,USER_115,checkout,2024-01-01 08:24:15+00:00,2.4.9,2,iOS,MY,SESSION_6400,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-01,8,Monday,1,2024-01
EVT_000129,USER_016,button_click,2024-01-11 11:44:15+00:00,2.1.6,2,Web,PH,SESSION_8625,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,11,Thursday,2,2024-01
EVT_000130,USER_177,button_click,2024-01-15 22:49:19+00:00,2.4.3,2,iOS,SG,SESSION_5833,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,22,Monday,3,2024-01
EVT_000131,USER_156,payment_failed,2024-01-08 04:29:47+00:00,2.4.3,2,iOS,VN,SESSION_7813,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,4,Monday,2,2024-01
EVT_000132,USER_021,share_clicked,2024-01-13 19:55:50+00:00,2.0.9,2,iOS,ID,SESSION_8319,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,19,Saturday,2,2024-01
EVT_000133,USER_052,error,2024-01-14 17:57:32+00:00,1.1.5,1,Web,TH,SESSION_9792,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-14,17,Sunday,2,2024-01
EVT_000134,USER_150,rating_submitted,2024-01-02 21:13:45+00:00,2.0.7,2,iOS,PH,SESSION_2489,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,21,Tuesday,1,2024-01
EVT_000135,USER_144,review_submitted,2024-01-07 14:36:03+00:00,1.3.4,1,iOS,VN,SESSION_6049,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,14,Sunday,1,2024-01
EVT_000137,USER_197,wishlist_remove,2024-01-07 05:49:08+00:00,2.3.6,2,Android,ID,SESSION_7135,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,5,Sunday,1,2024-01
